Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
A-000,A-000,Port A,1,4.25e+06,-57,2.29e+06,4.45e-11
A-001,A-001,Port A,1,5.20e+06,-69,1.86e+06,3.28e-11
A-002,A-002,Port A,1,2.05e+06,-70,7.04e+05,8.25e-11
A-003,A-003,Port A,1,3.27e+06,-74,8.86e+05,5.06e-11
A-004,A-004,Port A,1,2.06e+06,-69,7.43e+05,8.29e-11
A-005,A-005,Port A,1,6.33e+06,-79,1.17e+06,2.56e-11
A-006,A-006,Port A,1,6.50e+06,-77,1.46e+06,2.51e-11
A-007,A-007,Port A,1,2.04e+06,-52,1.25e+06,9.86e-11
A-008,A-008,Port A,1,1.13e+06,-15,1.09e+06,5.44e-10
A-009,A-009,Port A,1,5.00e+06,-60,2.48e+06,3.66e-11
A-010,A-010,Port A,1,1.92e+06,-26,1.73e+06,1.90e-10
A-011,A-011,Port A,1,1.90e+06,-23,1.75e+06,2.16e-10
A-012,A-012,Port A,1,7.97e+06,-77,1.79e+06,2.05e-11
A-013,A-013,Port A,1,7.79e+06,-72,2.39e+06,2.15e-11
A-014,A-014,Port A,1,3.36e+06,-31,2.88e+06,9.20e-11
A-015,A-015,Port A,1,2.59e+06,-33,2.17e+06,1.12e-10
A-016,A-016,Port A,1,4.43e+06,-65,1.85e+06,3.95e-11
A-017,A-017,Port A,1,1.30e+06,-21,1.21e+06,3.47e-10
A-018,A-018,Port A,1,7.34e+06,-77,1.60e+06,2.22e-11
A-019,A-019,Port A,1,1.30e+06,-19,1.23e+06,3.75e-10
A-020,A-020,Port A,1,3.24e+06,-64,1.40e+06,5.45e-11
A-021,A-021,Port A,1,2.49e+06,-21,2.32e+06,1.77e-10
A-022,A-022,Port A,1,4.74e+05,-7,4.71e+05,2.85e-09
A-023,A-023,Port A,1,1.42e+07,-71,4.75e+06,1.19e-11
A-024,A-024,Port A,1,4.94e+06,-47,3.39e+06,4.42e-11
A-025,A-025,Port A,1,2.60e+06,-22,2.41e+06,1.63e-10
A-026,A-026,Port A,1,2.01e+06,-56,1.11e+06,9.50e-11
A-027,A-027,Port A,1,5.18e+06,-57,2.83e+06,3.67e-11
A-028,A-028,Port A,1,2.02e+06,-55,1.16e+06,9.61e-11
A-029,A-029,Port A,1,6.30e+06,-63,2.86e+06,2.83e-11
A-030,A-030,Port A,1,3.87e+06,-42,2.88e+06,6.14e-11
A-031,A-031,Port A,1,6.13e+06,-60,3.06e+06,3.00e-11
A-032,A-032,Port A,1,6.23e+06,-82,8.24e+05,2.58e-11
A-033,A-033,Port A,1,3.28e+06,-43,2.39e+06,7.10e-11
A-034,A-034,Port A,1,6.17e+06,-79,1.18e+06,2.63e-11
A-035,A-035,Port A,1,3.53e+06,-46,2.47e+06,6.32e-11
A-036,A-036,Port A,1,2.59e+06,-29,2.26e+06,1.25e-10
A-037,A-037,Port A,1,2.02e+06,-37,1.63e+06,1.32e-10
